Constellation,Type,ID,Remarks,RA,DEC,Mag,Size,Class
SGR,OC,IC4725,M25,18 31.8,-19 07,4.6,26,I 2 p      
SGR,GC,6642,GCL  97           ,18 31.9,-23 29,8.9,5.8,IV         
SGR,OC,6645,OCL   48          ,18 32.6,-16 53,8.5,15,III 1 m    
SGR,GC,6656,M22 GREAT SAGITTARIUS CLUSTER,18 36.4,-23 54,5.2,32,VII        
SGR,GC,6681,M70,18 43.2,-32 18,7.8,8,V          
SGR,PN,IC4776,PK2-13.1         ,18 45.8,-33 21,12.5,0.13,2a         
SGR,GC,6715,M54,18 55.1,-30 29,7.7,12,III        
SGR,GC,6717,Palomar 9             ,18 55.1,-22 42,8.4,5.4,VIII       
SGR,GC,6723,Dunlop 573/CHANDELIER CLUSTER     ,18 59.6,-36 38,6.8,13,VII        
SGR,GC,6809,M55 SPECTER CLUSTER,19 40.0,-30 58,6.3,19,XI         
SGR,PN,6818,LITTLE GEM NEBULA,19 44.0,-14 09,10,0.37,4
SGR,GAL,6822,IC 4895/Barnard's Galaxy      ,19 44.9,-14 48,8.8,15.4,Ir+        
SGR,GC,6864,M75,20 06.1,-21 55,8.6,6.8,I          
TAU,BN,1435,CED  19I     in Pleiades=MEROPE NEB./TEMPEL'S NEBULA   ,03 46.2,+23 46,?,30,R          
TAU,BN,IC349,Van den Bergh 22   in Pleiades         ,03 46.3,+23 56,?,30,R          
TAU,PN,1514,The PANSY or CRYSTAL BALL NEBULA,04 09.3,+30 47,10.8,2,3(2)       
TAU,BN,1554/1555,"Hind's Variable Nebula, STRUVE'S LOST NEBULA",04 21.9,+19 32,?,0.5,R          
TAU,OC,1647,PIRATE MOON CLUSTER,04 45.7,+19 07,6.4,40,II 2 m     
TAU,OC,1746,OCL  452          ,05 03.6,+23 49,6.1,40,III 1 p    
TAU,OC,1817,POOR MAN'S DOUBLE CLUSTER,05 12.5,+16 41,7.7,20,III 1 m    
TAU,SNR,1952,M1 CRAB NEBULA,05 34.5,+22 01,8.4,8,SNR
TRI,GAL,598,M33 TRIANGULUM GALAXY,01 33.9,+30 39,5.7,68.7,Sc         
TRI,GAL,669,UGC 1248         ,01 47.3,+35 34,12.3,3.1,Sab        
TRI,GAL,670,UGC 1250         ,01 47.4,+27 53,12.7,2.1,SO         
TRI,GAL,672,UGC 1256         ,01 47.9,+27 26,10.9,7.5,SBc        
TRI,GAL,684,IC 165           ,01 50.2,+27 39,12.4,3.4,Sb         
TRI,GAL,751,UGC 1431         ,01 57.6,+33 12,14,1.8,EO         
TRI,GAL,784,UGC 1501         ,02 01.3,+28 50,11.7,6.6,SBd        
TRI,GAL,925,UGC 1913         ,02 27.3,+33 35,10.1,10.9,SBcd       
TRI,GAL,949,UGC 1983         ,02 30.8,+37 08,11.8,2.7,Sb         
UMA,GAL,2681,UGC 4645         ,08 53.5,+51 19,10.3,3.7,SBO-a      
UMA,GAL,2768,UGC 4821         ,09 11.6,+60 02,9.9,8.2,E5         
UMA,GAL,2841,TIGER'S EYE GALAXY,09 22.0,+50 59,9.2,7.7,Sb         
UMA,GAL,3031,M81 BODE'S NEBULA,09 55.6,+69 04,6.9,24.9,Sb         
UMA,GAL,3034,M82 CIGAR GALAXY,09 55.9,+69 41,8.4,10.5,Sd         
UMA,GAL,3079,UGC 5387   THE PHANTOM FRISBEE      ,10 02.0,+55 41,10.9,8.1,SBc        
UMA,GAL,3077,UGC 5398 THE GARLAND GAL.        ,10 03.3,+68 44,9.9,5.2,Sd         
UMA,GAL,3184,LITTLE PINWHEEL GALAXY,10 18.3,+41 25,9.8,7.6,SBc        
UMA,GAL,3556,M108,11 11.5,+55 40,10,8.6,SBc        
UMA,PN,3587,M97 OWL NEBULA,11 14.8,+55 01,11,3.4,3a         
UMA,GAL,3631,UGC 6360         ,11 21.0,+53 10,10.4,5,Sc         
